Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02/07/2019,2240,2257.35,2216.2,2252.75,2235.66,98136,3862,219398709,35127,35.79,41.15,12.75
01/07/2019,2239.65,2255,2207.65,2239.7,2238.11,106178,3612,237637606,50546,47.6,47.35,0.05
28/06/2019,2255,2261.25,2222.95,2227.25,2232.83,99596,3536,222381192,58730,58.97,38.3,-27.75
27/06/2019,2256.4,2264.8,2242.3,2252.65,2255.12,41248,2824,93019191,10698,25.94,22.5,-3.75
26/06/2019,2272.9,2272.9,2251.1,2253.7,2260.09,67735,2580,153087384,30908,45.63,21.8,-19.2
25/06/2019,2277,2277,2250.9,2266.75,2264.09,62663,3921,141874828,27234,43.46,26.1,-10.25
24/06/2019,2250,2279.9,2250,2275,2266.18,83606,3116,189466266,32129,38.43,29.9,25
21/06/2019,2280,2290.65,2242.05,2249.95,2264.76,115557,4031,261709052,74103,64.13,48.6,-30.05
20/06/2019,2230,2285,2214.05,2279,2252.28,133605,5227,300915820,57549,43.07,70.95,49
19/06/2019,2253,2275,2244.4,2259.9,2260.94,100800,4690,227902805,42981,42.64,30.6,6.9
18/06/2019,2249.8,2260,2232,2251.7,2247.37,84866,4341,190725583,33235,39.16,28,1.9
17/06/2019,2259.9,2262.8,2240.05,2245.6,2250.34,107409,3347,241706855,64908,60.43,22.75,-14.3
14/06/2019,2255,2262.55,2236.4,2252.3,2248.99,102702,3972,230975942,27694,26.97,26.15,-2.7
13/06/2019,2257,2285.05,2241.3,2250.25,2265.74,160534,6697,363728120,33846,21.08,43.75,-6.75
12/06/2019,2249,2267,2219.5,2258.45,2238.97,71366,4671,159786467,18021,25.25,47.5,9.45
11/06/2019,2237.9,2263,2233,2252.85,2251.43,121513,7323,273578399,44040,36.24,30,14.95
10/06/2019,2194.9,2234.95,2189.25,2231.1,2220.02,94323,6132,209398769,38369,40.68,45.7,36.2
07/06/2019,2177,2189,2145.2,2178.95,2164.36,84031,3675,181873595,22599,26.89,43.8,1.95
06/06/2019,2199,2199,2151.45,2167.4,2169.01,125991,4297,273275556,47591,37.77,47.55,-31.6
04/06/2019,2226,2226,2175,2182.45,2195.55,111042,6411,243798262,28743,25.88,51,-43.55
03/06/2019,2207.8,2248,2186,2240.35,2224.26,292099,6946,649702896,182472,62.47,62,32.55
31/05/2019,2159.95,2205,2155,2196.85,2183.71,165501,9375,361405883,61380,37.09,50,36.9
30/05/2019,2120,2153.4,2116.4,2145.4,2141.91,170973,8241,366209305,71407,41.76,37,25.4
29/05/2019,2071,2121.75,2071,2105.25,2109.97,199565,7348,421077094,91461,45.83,50.75,34.25
28/05/2019,2060,2097.45,2047.25,2075,2077.86,212368,7995,441270361,49071,23.11,50.2,15
27/05/2019,2060,2067.75,2040.4,2053.8,2053.63,222227,4334,456372645,147531,66.39,27.35,-6.2
24/05/2019,2074,2074,2034,2049.65,2052.2,102735,5345,210833252,26443,25.74,40,-24.35
23/05/2019,2100,2115.1,2049,2053.75,2070.88,167233,8725,346318833,71217,42.59,66.1,-46.25
22/05/2019,2114,2121.6,2076.7,2082.75,2091.54,122238,7052,255666199,46714,38.22,44.9,-31.25
21/05/2019,2145,2149.95,2101.6,2109.2,2120.61,87743,4177,186068945,35243,40.17,48.35,-35.8
20/05/2019,2126,2145,2050.25,2139.3,2114.68,131596,6546,278283431,25508,19.38,94.75,13.3
17/05/2019,2120.6,2134.95,2088.95,2096.35,2105.77,96029,3882,202215130,29385,30.6,46,-24.25
16/05/2019,2096,2123.4,2078.05,2109.45,2110.7,85235,3468,179905410,27415,32.16,45.35,13.45
15/05/2019,2105,2125.55,2084.6,2094.5,2102.51,122743,4987,258068759,46748,38.09,40.95,-10.5
14/05/2019,2137.5,2158.2,2074.5,2094.35,2101.13,107390,6246,225640635,28696,26.72,83.7,-43.15
13/05/2019,2140,2167,2122.85,2131.1,2137.06,154027,5231,329165670,69558,45.16,44.15,-8.9
10/05/2019,2174.35,2193.6,2125,2135.55,2157.38,105470,4688,227538482,26259,24.9,68.6,-38.8
09/05/2019,2145,2182,2138,2168.7,2169.79,80051,4070,173693526,24870,31.07,44,23.7
08/05/2019,2158,2167.75,2130.2,2152.65,2153.96,59590,3302,128354773,23867,40.05,37.55,-5.35
07/05/2019,2155,2185,2140.1,2150.35,2162.64,107919,4067,233389905,52929,49.05,44.9,-4.65
06/05/2019,2113,2165,2104.55,2154.7,2150.1,123793,4983,266167709,42450,34.29,60.45,41.7
03/05/2019,2191,2191,2125.15,2132.5,2155.69,167475,9327,361023581,53476,31.93,65.85,-58.5
02/05/2019,2260,2260,2209.45,2214.4,2227.54,67719,4309,150846764,21829,32.23,50.55,-45.6
30/04/2019,2230,2265,2230,2254.95,2250.95,125430,7582,282337203,45897,36.59,35,24.95
26/04/2019,2200,2244.55,2193.75,2238.3,2226.3,149597,7924,333047547,51617,34.5,50.8,38.3
25/04/2019,2169,2199,2169,2191.7,2180.87,97687,6216,213042496,29819,30.52,30,22.7
24/04/2019,2157.7,2195,2155.4,2185.45,2175.12,114028,5518,248024107,32359,28.38,39.6,27.75
23/04/2019,2166,2167.6,2135.1,2157.7,2148.69,74839,3515,160805976,19535,26.1,32.5,-8.3
22/04/2019,2148,2175.95,2147.25,2164.35,2169.78,186485,5344,404631777,99507,53.36,28.7,16.35
